title,type,question,A,B,C,D,answer,image
F5 Chp 7,radio,PenangSet_Q35,A,B,C,D,A,SC-SPM/Penang Set 1 2024/Picture35.png
F5 Chp 7,radio,PenangSet_Q35,A,B,C,D,A,SC-SPM/Penang Set 1 2024/Picture35.png
F5 Chp 7,radio,PenangSet_Q35,A,B,C,D,D,SC-SPM/Penang Set 2 2024/Picture35.png
F5 Chp 7,radio,PenangSet_Q35,A,B,C,D,D,SC-SPM/Penang Set 2 2024/Picture35.png
F5 Chp 7,radio,Kelantan_Q36,A,B,C,D,A,SC-SPM/Kelantan 2024/Picture36.png
F5 Chp 7,radio,Kelantan_Q36,A,B,C,D,A,SC-SPM/Kelantan 2024/Picture36.png
F5 Chp 7,radio,KelantanYik_Q36,A,B,C,D,D,SC-SPM/Kelantan YIK 2024/Picture36.png
F5 Chp 7,radio,KelantanYik_Q36,A,B,C,D,D,SC-SPM/Kelantan YIK 2024/Picture36.png
F5 Chp 7,radio,PenangSet_Q36,A,B,C,D,A,SC-SPM/Penang Set 1 2024/Picture36.png
F5 Chp 7,radio,PenangSet_Q36,A,B,C,D,A,SC-SPM/Penang Set 1 2024/Picture36.png
F5 Chp 7,radio,PenangSet_Q36,A,B,C,D,D,SC-SPM/Penang Set 2 2024/Picture36.png
F5 Chp 7,radio,PenangSet_Q36,A,B,C,D,D,SC-SPM/Penang Set 2 2024/Picture36.png
F5 Chp 7,radio,Kedah_Q37,A,B,C,D,C,SC-SPM/Kedah 2024/Picture37.png
F5 Chp 7,radio,Kedah_Q37,A,B,C,D,C,SC-SPM/Kedah 2024/Picture37.png
F5 Chp 7,radio,Kelantan_Q37,A,B,C,D,B,SC-SPM/Kelantan 2024/Picture37.png
F5 Chp 7,radio,Kelantan_Q37,A,B,C,D,B,SC-SPM/Kelantan 2024/Picture37.png
F5 Chp 7,radio,KelantanYik_Q37,A,B,C,D,D,SC-SPM/Kelantan YIK 2024/Picture37.png
F5 Chp 7,radio,KelantanYik_Q37,A,B,C,D,D,SC-SPM/Kelantan YIK 2024/Picture37.png
F5 Chp 7,radio,Melaka_Q37,A,B,C,D,B,SC-SPM/Melaka 2024/Picture37.png
F5 Chp 7,radio,Melaka_Q37,A,B,C,D,B,SC-SPM/Melaka 2024/Picture37.png
F5 Chp 7,radio,NegeriSembilan_Q37,A,B,C,D,B,SC-SPM/Negeri Sembilan 2024/Picture37.png
F5 Chp 7,radio,NegeriSembilan_Q37,A,B,C,D,B,SC-SPM/Negeri Sembilan 2024/Picture37.png
F5 Chp 7,radio,Pahang_Q37,A,B,C,D,D,SC-SPM/Pahang 2024/Picture37.png
F5 Chp 7,radio,Pahang_Q37,A,B,C,D,D,SC-SPM/Pahang 2024/Picture37.png
F5 Chp 7,radio,Melaka_Q38,A,B,C,D,D,SC-SPM/Melaka 2024/Picture38.png
F5 Chp 7,radio,Melaka_Q38,A,B,C,D,D,SC-SPM/Melaka 2024/Picture38.png
F5 Chp 7,radio,Pahang_Q38,A,B,C,D,D,SC-SPM/Pahang 2024/Picture38.png
F5 Chp 7,radio,Pahang_Q38,A,B,C,D,D,SC-SPM/Pahang 2024/Picture38.png
F5 Chp 7,radio,Perak_Q38,A,B,C,D,C,SC-SPM/Perak 2024/Picture38.png
F5 Chp 7,radio,Perak_Q38,A,B,C,D,C,SC-SPM/Perak 2024/Picture38.png
F5 Chp 7,radio,Smka_Q38,A,B,C,D,A,SC-SPM/SMKA 2024/Picture38.png
F5 Chp 7,radio,Smka_Q38,A,B,C,D,A,SC-SPM/SMKA 2024/Picture38.png
